affiliation_id,affiliation_name,affiliation_country
1340918713,university college london hospitals nhs foundation trust,United Kingdom
1332124652,centre for environment fisheries and aquaculture science,United Kingdom
1312192358,university of belgrade faculty of electrical engineering,Serbia
1283247047,the research institute at nationwide children s hospital,United States
869053500,university of the district of columbia community college,United States
253568910,maharana pratap university of agriculture and technology,India
231086526,university of natural sciences and humanities in siedlce,Poland
206451062,university of architecture civil engineering and geodesy,Bulgaria
200845125,nanjing university of information science and technology,China
191969501,national taipei university of nursing and health science,Taiwan
184531372,oslo and akershus university college of applied sciences,Norway
170682158,department of business management university of calcutta,India
166846921,liaoning university of petroleum and chemical technology,China
165951966,university of texas health science center at san antonio,United States
156816832,technological educational institute of western macedonia,Greece
154700926,nara national research institute for cultural properties,Japan
152869788,motilal nehru national institute of technology allahabad,India
151229976,national kaohsiung university of hospitality and tourism,Taiwan
150229711,university of electronic science and technology of china,China
148297040,netherlands organisation for applied scientific research,Netherlands
146476426,government college of engineering and leather technology,United States
114838220,niigata university of pharmacy and applied life sciences,Japan
110210549,international centre for integrated mountain development,Nepal
92869138,university of natural resources and life sciences vienna,Austria
79101214,school of physics and astronomy university of manchester,United Kingdom
73616290,korea research institute of bioscience and biotechnology,South Korea
62853816,beijing university of civil engineering and architecture,China
59692284,ecole superieure de chimie physique electronique de lyon,France
53746303,new york state energy research and development authority,United States
52091283,institute for the protection and security of the citizen,Italy
34226333,cooperative institute for marine and atmospheric studies,United States
24245652,mindanao state university iligan institute of technology,Philippines
23686167,national aerospace university kharkiv aviation institute,Ukraine
17404232,bangladesh council of scientific and industrial research,Bangladesh
10180231,national authority for remote sensing and space sciences,Egypt
1324483333,malla reddy college of engineering technology hyderabad,India
1322227051,li ka shing faculty of medicine university of hong kong,Hong Kong
1311099166,academia sinica institute of astronomy and astrophysics,Taiwan
1300393620,university of technology and life sciences in bydgoszcz,Poland
1296787989,new york state department of environmental conservation,United States
1288948787,johnson johnson pharmaceutical research and development,United States
210400266,texas tech university health sciences center at el paso,United States
204537363,melbourne school of engineering university of melbourne,Australia
198068145,scientific and technological research council of turkey,Turkey
193207422,deutsche gesellschaft fur internationale zusammenarbeit,Germany
192868223,zhengzhou institute of aeronautical industry management,China
183135701,institute of information technology university of dhaka,India
181996519,indian institute of science education and research pune,India
161878677,austrian research institute for artificial intelligence,Austria
152040866,marine institute of memorial university of newfoundland,Canada
151811957,gyeongnam national university of science and technology,South Korea
149521062,university of maryland center for environmental science,United States
143601524,the public authority for applied education and training,Kuwait
135849542,national center for geographic information and analysis,United States
121879036,potchefstroom university for christian higher education,South Africa
119475436,zhejiang california international nanosystems institute,China
118501908,national research university higher school of economics,Russia
108058724,faculty of medicine siriraj hospital mahidol university,Thailand
92403924,geo informatics and space technology development agency,Thailand
82653200,faculty of social sciences charles university in prague,Czech Republic
79775147,ho chi minh city university of agriculture and forestry,Vietnam
57910388,middle east technical university northern cyprus campus,Cyprus
56822791,ghana institute of management and public administration,Ghana
40282511,german center for pediatric and adolescent rheumatology,Germany
20388574,state university of new york upstate medical university,United States
11074976,german institute for international and security affairs,Germany
1340108165,national center for research on earthquake engineering,Taiwan
1334950195,australian nuclear science and technology organisation,Australia
1315513584,pakistan council of scientific and industrial research,Pakistan
1309671496,suny poly college of nanoscale science and engineering,United States
1308952385,japanese ministry of land infrastructure and transport,Japan
1308683654,executive office of the president of the united states,United States
1296766271,south korean ministry of information and communication,South Korea
1289992829,north carolina department of health and human services,United States
1288051870,organisation for economic co operation and development,France
309496635,weihenstephan triesdorf university of applied sciences,Germany
196147822,faculty of electrical engineering university of osijek,Croatia
195628756,united states army tacom life cycle management command,United States
185203018,king saud bin abdulaziz university for health sciences,Saudi Arabia
169161728,faculty of economics and business university of zagreb,Croatia
157169809,university of science and technology houari boumediene,Algeria
134276161,pakistan institute of engineering and applied sciences,Pakistan
131948415,national taichung university of science and technology,Taiwan
129202363,svu college of engineering sri venkateswara university,India
127251866,alfred wegener institute for polar and marine research,Germany
122205739,instituto nacional de engenharia tecnologia e inovacao,Portugal
115474868,centro federal de educacao tecnologica de minas gerais,Brazil
109362141,rocky vista university college of osteopathic medicine,United States
102379361,first faculty of medicine charles university in prague,Czech Republic
98461037,monterrey institute of technology and higher education,Mexico
89283230,rubenstein school of environment and natural resources,United States
63137783,wallace h coulter department of biomedical engineering,United States
59781447,inter university centre for astronomy and astrophysics,India
59378997,vivekanand education society s institute of technology,India
59272784,arab academy for science technology maritime transport,Egypt
56179063,hartford steam boiler inspection and insurance company,United States
51317819,institute of medical sciences banaras hindu university,India
26805570,jomo kenyatta university of agriculture and technology,Kenya
20696738,wuppertal institute for climate environment and energy,Germany
16566446,national pingtung university of science and technology,Taiwan
1334095494,new york city department of health and mental hygiene,United States
1329995294,japanese ministry of international trade and industry,Japan
1320913470,egyptian ministry of agriculture and land reclamation,Egypt
1311218312,semiconductor manufacturing international corporation,China
1299022934,united states department of health and human services,United States
905292528,international council for open and distance education,Norway
899948282,international association of classification societies,United Kingdom
882627180,ras al khaimah medical and health sciences university,United Arab Emirates
878022262,korea institute of science and technology information,South Korea
322619852,greater kolkata college of engineering and management,India
257545875,hunan university of humanities science and technology,China
204490831,national research university of electronic technology,Russia
201384688,national university of computer and emerging sciences,Pakistan
198423848,national institute for occupational safety and health,United States
196454796,institut national des sciences appliquees de toulouse,France
192507692,national center for agricultural utilization research,United States
181507560,international federation of the phonographic industry,United Kingdom
180507071,sri chandrasekharendra saraswathi viswa mahavidyalaya,India
172696847,shri ramdeobaba college of engineering and management,India
170347488,national environmental engineering research institute,India
168685008,international centre of insect physiology and ecology,Kenya
146589827,beckman institute for advanced science and technology,United States
142401562,electronics and telecommunications research institute,South Korea
130416959,central research institute of electric power industry,Japan
119213423,taipei chengshih university of science and technology,Taiwan
118684936,velagapudi ramakrishna siddhartha engineering college,India
115911606,moscow state institute of electronics and mathematics,Russia
90540274,skaggs school of pharmacy and pharmaceutical sciences,United States
89763489,vladivostok state university of economics and service,Russia
88104857,university of missouri kansas city school of medicine,United States
82828225,king mongkut s university of technology north bangkok,Thailand
78610882,university institute of technology burdwan university,India
63568130,sant longowal institute of engineering and technology,India
45643870,pontificia universidade catolica do rio grande do sul,Brazil
39479358,hebei institute of architecture and civil engineering,China
28423260,feroze gandhi institute of engineering and technology,India
28239286,ecole nationale superieure des mines de saint etienne,France
27912750,wroclaw university of environmental and life sciences,Poland
15896350,guru jambheshwar university of science and technology,India
6820528,alexander fleming biomedical sciences research center,Greece
4761504,barts and the london school of medicine and dentistry,United Kingdom
1327334710,k k wagh institute of engineering education research,India
1317774081,international institute for applied systems analysis,Austria
1317728487,queensland department of natural resources and mines,Australia
1315852903,japan agency for marine earth science and technology,Japan
1315037921,queensland department of natural resources and water,Australia
919571938,university of texas health science center at houston,United States
860889466,friedrich miescher institute for biomedical research,Switzerland
282179226,international council for the exploration of the sea,Denmark
228671173,thangal kunju musaliar college of engineering kollam,India
222950476,ecole pour l informatique et les techniques avancees,France
203061107,wuhan vocational college of software and engineering,China
189273616,rosalind franklin university of medicine and science,United States
178077102,institute for computational engineering and sciences,Not Found
163389970,national institute of science education and research,India
154864474,national taiwan university of science and technology,Taiwan
153759453,university college of engineering osmania university,India
153562115,syarif hidayatullah state islamic university jakarta,Indonesia
148966907,toyota motor engineering manufacturing north america,United States
148314036,uniformed services university of the health sciences,United States
118363741,ecole nationale superieure de physique de strasbourg,France
113686770,western institute of technology and higher education,Mexico
106739269,institute for quantum optics and quantum information,Austria
102839717,anil neerukonda institute of technology and sciences,India
99731219,higher institute for applied sciences and technology,Syria
96424156,federal institute for occupational safety and health,Germany
92582371,southern taiwan university of science and technology,Taiwan
90873290,cooperative institute for research in the atmosphere,United States
75420372,university of novi sad faculty of technical sciences,Serbia
75357094,national yunlin university of science and technology,Taiwan
45935490,national institute of water and atmospheric research,New Zealand
45487847,chittagong veterinary and animal sciences university,Bangladesh
44142251,wyss institute for biologically inspired engineering,United States
42731748,national institute of applied science and technology,Tunisia
39565521,united states department of energy office of science,United States
37722386,institute of biomaterials and biomedical engineering,Canada
32078218,national penghu university of science and technology,Taiwan
26072440,indian institute of information technology allahabad,India
24227732,university of applied sciences ravensburg weingarten,Germany
21234642,zhejiang university of media and communications zumc,China
15922215,national center for university entrance examinations,Japan
12202575,posts and telecommunications institute of technology,Vietnam
10535382,chongqing university of posts and telecommunications,China
9903089,georgia institute of technology college of computing,United States
1330402025,fleet numerical meteorology and oceanography center,United States
1325928663,institute for space applications and remote sensing,Greece
1323638106,national agriculture and food research organization,Japan
1323611508,international institute for sustainable development,Canada
1297502334,democratic republic of the congo ministry of health,Not Found
923228073,shambhunath institute of engineering and technology,India
882009436,central taiwan university of science and technology,Taiwan
243646852,regent university college of science and technology,Ghana
208470662,iuliu ha?ieganu university of medicine and pharmacy,Romania
202334528,beijing electronic science and technology institute,China
197842652,hajee mohammad danesh science technology university,Bangladesh
196021976,walter and eliza hall institute of medical research,Australia
193352282,daegu gyeongbuk institute of science and technology,South Korea
193033237,institut superieur de l aeronautique et de l espace,France
190497903,laboratory for analysis and architecture of systems,France
185990448,american academy of child and adolescent psychiatry,United States
183697816,bangladesh university of engineering and technology,Bangladesh
179814638,south university of science and technology of china,China
171113017,school of computer science university of manchester,United Kingdom
166599752,the george washington university school of business,United States
165972669,universidade federal da integracao latino americana,Brazil
154006102,institute for the management of information systems,United Kingdom
138716206,muffakham jah college of engineering and technology,India
135942548,faculty of earth sciences king abdulaziz university,Saudi Arabia
134738993,shandong university of traditional chinese medicine,China
122996671,indian institutes of science education and research,India
118373667,seoul national university of science and technology,South Korea
95479964,center for bioinformatics and computational biology,United States
84549716,university of texas at austin school of information,United States
79563041,n i lobachevsky state university of nizhny novgorod,Russia
74077464,rosenstiel school of marine and atmospheric science,United States
57154934,semel institute for neuroscience and human behavior,United States
52035452,jawaharlal nehru technological university anantapur,India
48074715,moscow state technical university of civil aviation,Russia
31637741,inner mongolia university of science and technology,China
28221208,institut national des sciences appliquees de rennes,France
10874241,jawaharlal nehru technological university hyderabad,India
1336138748,dhaka university of engineering technology gazipur,Bangladesh
1319660883,technological educational institute of messolonghi,Greece
1299528221,engineering and physical sciences research council,United Kingdom
1293448361,institut de radioprotection et de surete nucleaire,France
1290158734,united states commodity futures trading commission,United States
1288481572,center for earth resources observation and science,United States
932239252,shanmugha arts science technology research academy,India
877501756,council for the curriculum examinations assessment,United Kingdom
322348216,universidad catolica nuestra senora de la asuncion,Paraguay
304011483,grigore t popa university of medicine and pharmacy,Romania
242743682,florey institute of neuroscience and mental health,Australia
228616957,inner mongolia university of finance and economics,China
207153753,george w woodruff school of mechanical engineering,United States
200682497,case western reserve university school of medicine,United States
199282053,institute for theoretical and experimental physics,Russia
196443477,naval air warfare center training systems division,United States
195342982,university of medicine and dentistry of new jersey,United States
193670517,embry riddle aeronautical university daytona beach,United States
177738480,japan advanced institute of science and technology,Japan
176979517,international research center for japanese studies,Japan
173439891,university of applied sciences western switzerland,Switzerland
172814513,national institute of foundry and forge technology,India
159344633,kansas city university of medicine and biosciences,United States
157357266,ningbo institute of technology zhejiang university,China
154986956,european centre for medium range weather forecasts,United Kingdom
154840374,muhimbili university of health and allied sciences,Tanzania
151201029,national scientific and technical research council,Argentina
142809039,jawaharlal nehru technological university kakinada,India
139759216,beijing university of posts and telecommunications,China
130154697,international institute for management development,Switzerland
122991210,istituto di scienza e tecnologie dell informazione,Italy
121486552,helsinki metropolia university of applied sciences,Finland
115602675,united nations institute for training and research,Switzerland
94357780,zhongkai university of agriculture and engineering,China
91036609,the citadel the military college of south carolina,United States
90965887,state university of new york polytechnic institute,United States
90669466,school for advanced studies in the social sciences,France
88814501,institut national des sciences appliquees de rouen,France
84285325,manchester metropolitan university business school,United Kingdom
78974044,east china university of political science and law,China
78663439,institute of chartered financial analysts of india,India
76834756,nust school of civil and environmental engineering,Pakistan
71920554,king abdullah university of science and technology,Saudi Arabia
69329901,coimbatore institute of engineering and technology,India
68561585,tohoku university of community service and science,Japan
58560619,rajiv gandhi college of engineering and technology,India
57496824,national institute of technology arunachal pradesh,India
57210546,european centre for disease prevention and control,Sweden
53411278,chengdu university of traditional chinese medicine,China
52163835,arizona state university at the polytechnic campus,United States
48566637,ulsan national institute of science and technology,South Korea
47642385,anna university chennai regional office coimbatore,India
42563808,comprehensive nuclear test ban treaty organization,United States
41763900,central electronics engineering research institute,India
41518628,saint petersburg state electrotechnical university,Russia
41198531,nanjing university of posts and telecommunications,China
41173762,mawlana bhashani science and technology university,Bangladesh
33256026,german research centre for artificial intelligence,Germany
32101680,solvay brussels school of economics and management,Belgium
30290273,national institute of fitness and sports in kanoya,Japan
28046988,kwame nkrumah university of science and technology,Ghana
24798489,kharkiv national automobile and highway university,Ukraine
21449664,instruments research and development establishment,India
19630809,mario negri institute for pharmacological research,Italy
12411659,tianjin university of traditional chinese medicine,China
10899854,jiangxi university of traditional chinese medicine,China
9842412,nanjing university of aeronautics and astronautics,China
1335578998,florida institute for human and machine cognition,United States
1329105584,institute of electrical and electronics engineers,United States
1322959166,bharathiyar college of engineering and technology,India
1300757298,heilongjiang university of science and technology,China
1293302089,swedish meteorological and hydrological institute,Sweden
254421610,school of pedagogical and technological education,Greece
252758333,g b pant university of agriculture and technology,India
226424304,geethanjali college of engineering and technology,India
206732907,aalto university school of electrical engineering,Finland
206543401,institute of physical medicine and rehabilitation,Pakistan
204403938,hebrew union college jewish institute of religion,United States
203474044,national centre of scientific research demokritos,Greece
192480283,syracuse university school of information studies,United States
188963388,international institute of information technology,India
184778959,hadley centre for climate prediction and research,United Kingdom
184490438,chinese center for disease control and prevention,China
183973265,viswajyothi college of engineering and technology,India
154019184,hsin sheng college of medical care and management,Taiwan
153904384,university of languages and international studies,Vietnam
148128674,university of shanghai for science and technology,China
142758973,university of information technology and sciences,Bangladesh
141467249,universidad popular autonoma del estado de puebla,Mexico
138363959,prathyusha institute of technology and management,India
126343983,faculty of teacher education university of osijek,Croatia
122879082,natural sciences and engineering research council,Canada
118783713,fujian university of traditional chinese medicine,China
115301423,hiroshima national college of maritime technology,Japan
107851509,chinese academy of tropical agricultural sciences,China
103922791,california institute for quantitative biosciences,United States
97096411,randall division of cell and molecular biophysics,United Kingdom
96982228,military college of telecommunication engineering,India
96576516,rivers state university of science and technology,Nigeria
96413208,swinburne university of technology sarawak campus,Malaysia
92894754,innovations for high performance microelectronics,Germany
91538806,king mongkut s institute of technology ladkrabang,Thailand
90610274,university of engineering and technology peshawar,Pakistan
89178830,national kaohsiung university of applied sciences,Taiwan
82810460,faculty of civil engineering university of osijek,Croatia
78675632,beijing information science technology university,China
70735523,central mechanical engineering research institute,India
69886588,institute for nuclear research and nuclear energy,Bulgaria
68265846,interdisciplinary center for scientific computing,Germany
59596033,university of marketing and distribution sciences,Japan
55769427,indiana university purdue university indianapolis,United States
52710748,charles r drew university of medicine and science,United States
52459904,institute for biodiversity and ecosystem dynamics,Netherlands
51896314,international school of software wuhan university,China
48840829,tokyo university of marine science and technology,Japan
48430043,institut national des sciences appliquees de lyon,France
48381559,hebei normal university of science and technology,China
47639616,centurion university of technology and management,India
46975222,yunnan university of traditional chinese medicine,China
46700001,rajiv gandhi university of knowledge technologies,India
39012071,kyoto college of graduate studies for informatics,Japan
34478861,sir syed university of engineering and technology,Pakistan
34450639,shri vaishnav institute of technology and science,India
17129648,instituto portugues de oncologia francisco gentil,Portugal
16834834,nova southeastern university oceanographic center,United States
15032026,national fisheries research development institute,South Korea
9467704,robert f wagner graduate school of public service,United States
5209920,ostwestfalen lippe university of applied sciences,Germany
4594943,polytechnic school of the university of sao paulo,Brazil
1141210,indian agricultural statistics research institute,India
376102,agricultural research organization volcani center,Israel
1342391420,centre for maritime research and experimentation,Italy
1318617081,woodrow wilson international center for scholars,United States
1295585255,european network and information security agency,Greece
1290690896,academy of natural sciences of drexel university,United States
925020785,reseaux ip europeens network coordination centre,Netherlands
916357946,sri sivasubramaniya nadar college of engineering,India
909854389,london school of economics and political science,United Kingdom
898189556,technical career institute college of technology,United States
882761360,indian institute of space science and technology,India
866762266,united nations assistance mission in afghanistan,Afghanistan
305754458,department of environment and primary industries,Australia
277559549,mksss s cummins college of engineering for women,India
233870863,mount zion college of engineering and technology,India
204831749,southwestern university of finance and economics,China
200868477,sardar vallabhbhai patel institute of technology,India
200246676,school of medicine shanghai jiao tong university,China
194335595,nagahama institute of bio science and technology,Japan
192723230,calcutta institute of engineering and management,India
181397559,asia pacific university of technology innovation,Malaysia
181223716,west virginia university institute of technology,United States
179165673,kyungpook national university school of medicine,South Korea
174424907,laboratoire d informatique fondamentale de lille,France
173755004,universidad michoacana de san nicolas de hidalgo,Mexico
170935008,pontificia universidade catolica de minas gerais,Brazil
162051807,carol davila university of medicine and pharmacy,Romania
161028277,institute for advanced studies in basic sciences,Iran
160354188,henan university of traditional chinese medicine,China
159743108,dortmund university of applied sciences and arts,Germany
159665162,national institute of development administration,Thailand
154562123,sarvajanik college of engineering and technology,India
143663144,research institute for advanced computer science,United States
141883831,instituto nacional de matematica pura e aplicada,Brazil
137506752,north china university of science and technology,China
135218257,swiss center for electronics and microtechnology,Switzerland
128563418,college of electrical and mechanical engineering,Pakistan
123152040,architectural association school of architecture,United Kingdom
122964287,national institute of technology tiruchirappalli,India
119939603,ahvaz jundishapur university of medical sciences,Iran
119939252,indraprastha institute of information technology,India
119273862,central south university forestry and technology,China
117353377,lockheed martin advanced technology laboratories,United States
112683239,shanghai university of political science and law,China
110454016,faculdade de engenharia da universidade do porto,Portugal
96518964,shri sant gajanan maharaj college of engineering,India
90833107,chandigarh college of engineering and technology,India
90708416,keck graduate institute of applied life sciences,United States
88885544,christchurch polytechnic institute of technology,New Zealand
87884205,iae lyon university of lyon school of management,France
83648350,universidade federal do estado do rio de janeiro,Brazil
83205935,malaviya national institute of technology jaipur,India
78596397,rutgers business school newark and new brunswick,United States
77153467,institute of human behaviour and allied sciences,India
72718475,jawaharlal nehru national college of engineering,India
71468022,texas a m university baylor college of dentistry,United States
70348806,university of valenciennes and hainaut cambresis,France
60837268,king mongkut s university of technology thonburi,Thailand
53663418,european research center for information systems,Germany
51304674,sirindhorn international institute of technology,Thailand
43360264,university of colorado denver school of medicine,United States
41317344,jiangxi science and technology normal university,China
37553959,universite de technologie de belfort montbeliard,France
37089864,nijmegen institute for cognition and information,Netherlands
32619867,egypt japan university of science and technology,Egypt
29078338,national institute of geophysics and volcanology,Italy
21740220,international maize and wheat improvement center,Mexico
19744281,birla institute of technology science pilani goa,India
17180727,northumbria university newcastle business school,United States
16103723,school of geodesy and geomatics wuhan university,China
15089104,china aerospace science and industry corporation,China
14992734,hunan university of traditional chinese medicine,China
2699952,pontifical catholic university of rio de janeiro,Brazil
1330165540,bundesanstalt fur materialforschung und prufung,Germany
1325290478,new york city landmarks preservation commission,United States
1321572752,mount sinai st luke s and mount sinai roosevelt,United States
