affiliation_id,affiliation_name,affiliation_country
3367850,austin energy,United States
3369870,sardar patel institute of technology,India
3412056,sanyo,United Kingdom
3462296,gyeongin national university of education,South Korea
3780104,maharaja surajmal institute of technology,India
3800349,wisconsin school of business,United States
3813760,reserve bank of australia,Australia
3908793,alpha mos,France
3923682,soochow university,China
3970613,university of north carolina at pembroke,United States
4010417,bayer healthcare pharmaceuticals,Germany
4019319,geomagic,United States
4028839,biju patnaik university of technology,India
4031970,sri krishnadevaraya university,India
4047665,dawson college,Canada
4056153,new college of florida,United States
4058158,merrimack college,United States
4061448,universidad de sonora,Mexico
4068193,university of belgrade,Serbia
4076070,bharathidasan university,India
4092182,graz university of technology,Austria
4101805,yildiz technical university,Turkey
4104125,universidade federal de santa catarina,Brazil
4130052,national institute of building sciences,United States
4141589,national university of rosario,Argentina
4164984,international islamic university malaysia,Malaysia
4179309,park university,United States
4314330,w p carey school of business,United States
4322298,towson university,United States
4322889,mahanakorn university of technology,Thailand
4351183,medaille college,United States
4405392,bogazici university,Turkey
4407910,solido design automation,Canada
4432739,university of bergen,Norway
4472751,anhui normal university,China
4498119,connecticut college,United States
4510145,jiangxi university of science and technology,China
4528725,osaka international university,Japan
4528857,university of kuala lumpur,Malaysia
4531280,parke davis,United States
4537092,addis ababa university,Ethiopia
4575257,hanyang university,South Korea
4576418,universiti teknologi malaysia,Malaysia
4577782,technical university of berlin,Germany
4588055,tottori university,Japan
4594943,polytechnic school of the university of sao paulo,Brazil
4610292,xiangtan university,China
4626487,king faisal university,Saudi Arabia
4647051,university of picardie jules verne,France
4654613,university of warsaw,Poland
4657992,university of wisconsin la crosse,United States
4665924,university of rostock,Germany
4693666,cgg,France
4724304,jodhpur national university,India
4750791,henan agricultural university,China
4761504,barts and the london school of medicine and dentistry,United Kingdom
4780363,pittsburg state university,United States
4784299,university of western greece,Greece
4792177,daelim university college,South Korea
4800084,southwest jiaotong university,China
4819740,sri sathya sai university,India
4829542,rheinmain university of applied sciences,Germany
4840577,toyota technological institute,Japan
4843557,budker institute of nuclear physics,Russia
4853710,siberian federal university,Russia
4864440,state university of new york at brockport,United States
4871159,university of mazandaran,Iran
4880106,feng chia university,Taiwan
4880411,g m institute of technology,India
4895557,don bosco institute of technology mumbai,India
4901143,university of virginia s college at wise,United States
4921948,pusan national university,South Korea
4922082,research institute of petroleum industry,Iran
4923324,fraunhofer society,Germany
4981802,volvo cars,Sweden
5023651,mcgill university,Canada
5085271,hanken school of economics,Finland
5101941,telespazio,Italy
5124864,ecole polytechnique federale de lausanne,Switzerland
5188418,laurea university of applied sciences,Finland
5209920,ostwestfalen lippe university of applied sciences,Germany
5237613,frankfurt university of applied sciences,Germany
5287876,tower semiconductor ltd,United States
5316388,manipur institute of technology,India
5324124,seoul theological university,South Korea
5329801,raytheon intelligence and information systems,United States
5332623,mantech international,United States
5337786,chatham university,United States
5343935,guilin university of electronic technology,China
5388228,university of rochester,United States
5400463,ghulam ishaq khan institute of engineering sciences and technology,Pakistan
5422934,shanxi datong university,China
5429594,fitchburg state university,United States
5444425,macalester college,United States
5447759,pemex,Mexico
5467274,akita prefectural university,Japan
5490798,john deere,United States
5518804,brac university,Bangladesh
5561750,university of bari,Italy
5593406,ramon llull university,Spain
5681781,university of adelaide,Australia
5728261,university of sunderland,United Kingdom
5740404,tianjin medical university,China
5754244,magee college,United Kingdom
5791819,university of the philippines manila,Philippines
5795714,winona state university,United States
5816614,national institute of design,India
5847235,university of petroleum and energy studies,India
5857645,university of the highlands and islands,United Kingdom
5889141,college of horticulture,India
5936373,university of montenegro,Montenegro
5950314,university of west georgia,United States
5967587,westminster college,United States
5971364,chienkuo technology university,Taiwan
5979889,bank of america merrill lynch,United States
5994924,information retrieval facility,Austria
5996616,de la salle university,Philippines
6002401,national evolutionary synthesis center,United States
6013171,ravenshaw university,India
6026837,tuskegee university,United States
6030618,seikei university,Japan
6033180,university of duhok,Iraq
6059380,university of baltimore,United States
6090238,iwate prefectural university,Japan
6100803,heritage university,United States
6141010,european institute of oncology,Italy
6178835,ibaraki university,Japan
6189170,veracode,United States
6289922,university of vigo,Spain
6292670,fatima jinnah women university,Pakistan
6312358,geneva college,United States
6332465,morehouse school of medicine,United States
6358929,informatics institute of technology,Sri Lanka
6363994,tokushima college of technology,Japan
6406202,university of benin,Nigeria
6446798,obihiro university of agriculture and veterinary medicine,Japan
6498739,indian statistical institute,India
6507939,china unicom,China
6559123,institute of geochemistry,China
6569274,uam azcapotzalco,Mexico
6573832,turgut ozal university,Turkey
6585545,etsi,France
6593398,dali university,China
6645349,southwest university for nationalities,China
6750721,university of montana,United States
6762706,meteor,Ireland
6820528,alexander fleming biomedical sciences research center,Greece
6902469,brandeis university,United States
6984983,national normal university,United States
7133646,niigata college of technology,Japan
7171862,lille university of science and technology,France
7234298,ankara university medical school,Turkey
7287704,jewish hospital,United States
7350606,dalian jiaotong university,China
7377986,takushoku university,Japan
7446070,woosuk university,South Korea
7452641,belarusian state university of informatics and radioelectronics,Belarus
7454413,ecole centrale de lille,France
7478328,waterford institute of technology,Ireland
7495430,idiap research institute,Switzerland
7576732,boeing phantom works,United States
7597260,hungarian academy of sciences,Hungary
7621232,triquint semiconductor,United States
7725651,vector informatik,Germany
7726996,henan university of finance and economics,China
7761542,hebei polytechnic university,China
7863295,villanova university,United States
7875826,college of military engineering pune,India
7876267,open university in the netherlands,Netherlands
7877124,charite,Germany
7882870,university of glasgow,United Kingdom
7885462,ufa state aviation technical university,Russia
7888777,petersburg state transport university,Russia
7911195,siemens vai,Austria
7923278,royal dutch shell,Netherlands
7947594,university of maine,United States
7969619,oak ridge institute for science and education,United States
8031829,cooper union,United States
8078737,clemson university,United States
8087733,university of tubingen,Germany
8165072,universidade federal de itajuba,Brazil
8204097,ludwig maximilian university of munich,Germany
8248082,florida a m university,United States
8264552,lublin university of technology,Poland
8379220,universidad nacional de asuncion,Paraguay
8391235,axa,France
8408910,cardiff metropolitan university,United Kingdom
8409843,fusion io,United States
8488066,chiba institute of technology,Japan
8541234,university college of bahrain,Bahrain
8588240,saitama medical university,Japan
8606887,grand valley state university,United States
8616870,southwestern university,United States
8636806,university of sousse,Tunisia
8645926,university of south carolina aiken,United States
8659980,volkswagen group of america,United States
8664441,core security technologies,United States
8666313,beykent university,Turkey
8679417,open university of hong kong,Hong Kong
8681809,soolbridge international school of business,South Korea
8691672,kpmg,Netherlands
8692664,university of oklahoma,United States
8696757,sim university,Singapore
8717472,nagoya university of foreign studies,Japan
8721504,joetsu university of education,Japan
8764889,university of gondar,Ethiopia
8765205,university of kharkiv,Ukraine
8775707,vietnamese german university,Vietnam
8778637,national institute of technology srinagar,India
8789556,digic pictures,Hungary
8833935,university of leon,Spain
8873088,showa pharmaceutical university,Japan
8882099,psna college of engineering and technology,India
8901234,foundation for research technology hellas,Greece
8961855,national autonomous university of mexico,Mexico
8975392,osmania university,India
8991828,pukyong national university,South Korea
9008868,pilot university of colombia,Colombia
9061621,tripura institute of technology,India
9073902,institute of chemical technology in prague,Czech Republic
9086337,taiyuan university of technology,China
9130074,shanghai volkswagen,China
9158944,human kinetics,United States
9217761,westinghouse electric,United States
9223067,jaipur national university,India
9224756,northeastern university,United States
9254433,fisk university,United States
9256017,islamic azad university of najafabad,Iran
9267121,fields institute,Canada
9300472,bournemouth university,United Kingdom
9323808,daegu university,South Korea
9341345,university of lubeck,Germany
9353105,sudan university of science and technology,Sudan
9356336,zhangzhou normal university,China
9360294,university of bologna,Italy
9364636,salisbury university,United States
9374425,ottawa university,United States
9421779,biomerieux,France
9426676,eastman school of music,United States
9467704,robert f wagner graduate school of public service,United States
9502037,westmont college,United States
9508535,arkansas tech university,United States
9523339,national institute of technology meghalaya,India
9564693,eastern liaoning university,China
9568059,university for foreigners perugia,Italy
9570713,tafresh university,Iran
9579091,indian institute of technology mandi,India
9617848,polytechnic university of catalonia,Spain
9618033,abu dhabi company for onshore oil operations,United Arab Emirates
9636943,defence research agency,United Kingdom
9649716,konstanz university of applied sciences,Germany
9679517,materialise nv,Belgium
9732596,grunenthal gmbh,Germany
9736820,ecole de technologie superieure,Canada
9747756,indian institute of information technology and management gwalior,India
9769675,ecole nationale superieure des mines de nancy,France
9796191,university college of applied sciences,Palestinian Territories
9842412,nanjing university of aeronautics and astronautics,China
9903089,georgia institute of technology college of computing,United States
9916479,fourth military medical university,China
9927081,aalto university,Finland
10008193,dharamsinh desai university,India
10011244,huanggang normal university,China
10024668,national institute for medical research,United Kingdom
10052268,new mexico state university,United States
10058456,dongfeng motor,China
10091056,kanazawa university,Japan
10180231,national authority for remote sensing and space sciences,Egypt
10213569,cape breton university,Canada
10232997,l n gumilyov eurasian national university,Kazakhstan
10245363,rajamangala university of technology thanyaburi,Thailand
10285697,ontoprise gmbh,Germany
10342815,international space university,France
10356626,collegium civitas,Poland
10420973,f c donders centre for cognitive neuroimaging,Netherlands
10421873,laguardia community college,United States
10452050,messiah college,United States
10457146,university of santiago chile,Chile
10488764,scottish power,United Kingdom
10496686,shangrao normal university,China
10520737,toyama national college of technology,Japan
10535382,chongqing university of posts and telecommunications,China
10541126,sri manakula vinayagar engineering college,India
10572248,mihajlo pupin institute,Serbia
10654025,sk hynix,South Korea
10660446,kunming university of science and technology,China
10703595,global academy of technology,India
10729307,texas a m agrilife extension service,United States
10734018,akamai technologies,United States
10761972,hamamatsu university school of medicine,Japan
10767319,assam don bosco university,India
10824318,universidade federal de ouro preto,Brazil
10853899,bergen community college,United States
10866779,raytheon integrated defense systems,United States
10874241,jawaharlal nehru technological university hyderabad,India
10889393,jade university of applied sciences,Germany
10899854,jiangxi university of traditional chinese medicine,China
10902133,james i university,Spain
10926426,veer narmad south gujarat university,India
11019714,university of a coruna,Spain
11039511,university of bergamo,Italy
11074976,german institute for international and security affairs,Germany
11123151,northwest missouri state university,United States
11193315,instituto superior de contabilidade e administracao do porto,Portugal
11259723,watson school of biological sciences,United States
11265461,korea development institute,South Korea
11265933,ramakrishna mission vidyamandira,India
11304807,veolia water,France
11317238,seijoh university,Japan
11317958,seattle pacific university,United States
11368126,army and navy academy,United States
11381156,osaka gakuin university,Japan
11383257,universidad del salvador,Argentina
11385950,national council for scientific and technological development,Brazil
11406153,shanghai international studies university,China
11414854,national defence academy,India
11549877,altai state technical university,Russia
11559806,ecole normale superieure de cachan,France
11587721,australian college of applied psychology,Australia
11599329,imdea networks institute,Spain
11617743,anas,Italy
11662577,monash university malaysia campus,Malaysia
11701301,griffith university,Australia
11750234,university of science and culture,Iran
11786554,virginia state university,United States
11793825,national institute of technology patna,India
11821261,general dynamics land systems,United States
11838497,aviation industry corporation of china,China
11849452,tianjin agricultural university,China
11855966,diponegoro university,Indonesia
11865174,national institute of aeronautics and space,Indonesia
11874761,university of north florida,United States
11880225,national institute of technology karnataka,India
11883440,james madison university,United States
11886867,gns science,New Zealand
11892038,university of nigeria nsukka,Nigeria
11893660,mokpo national university,South Korea
11912373,micron technology,United States
11917024,cvr college of engineering,India
11920114,universidad santo tomas de aquino,Dominican Republic
11923345,wroclaw university of technology,Poland
11944219,university of la frontera,Chile
11947397,tata institute of fundamental research,India
11957088,michigan technological university,United States
11968726,the oxford college of engineering,India
11983389,manchester metropolitan university,United Kingdom
11986463,universita iuav di venezia,Italy
12012874,?tefan cel mare university of suceava,Romania
12057038,university of toledo medical center,United States
12079687,edith cowan university,Australia
12087800,magma design automation,United States
12093191,university of stirling,United Kingdom
12097938,west virginia university,United States
12113309,depauw university,United States
12128893,hogeschool universiteit brussel,Belgium
12132619,wake forest institute for regenerative medicine,United States
12141333,at t teleholdings inc,United States
12150220,university of mosul,Iraq
12162268,centre college,United States
12187552,esiee amiens,France
12202575,posts and telecommunications institute of technology,Vietnam
12213908,ming chi university of technology,Taiwan
12240146,australian institute of sport,Australia
12315562,texas tech university,United States
12323705,international centre for theoretical physics,Italy
12335567,hakuoh university,Japan
12337491,unik,Norway
12356871,telecom paristech,France
12379730,poznan university of economics,Poland
12387023,trakya university,Turkey
12393601,huaihua university,China
12411659,tianjin university of traditional chinese medicine,China
12449238,university of orleans,France
12450925,nha trang university,Vietnam
12469534,quaid i azam university,Pakistan
12504272,siddaganga institute of technology,India
12509574,jinwen university of science and technology,Taiwan
12524447,seton hall university,United States
12553626,university of zululand,South Africa
12571343,institute of ocean sciences,Canada
12602896,bhavan s college andheri,India
12607205,hogeschool gent,Belgium
12615008,united international college,China
12649496,inti international university,Malaysia
12685407,toros university,Turkey
12700597,cumhuriyet university,Turkey
12708293,swiss institute of bioinformatics,Switzerland
12758305,amit,Israel
12789410,ahmadu bello university,Nigeria
12832649,gachon university,South Korea
12833781,lampung university,Indonesia
12834331,university of wyoming,United States
12859529,university of nairobi,Kenya
12870472,birmingham city university,United Kingdom
12912129,northeastern university,United States
12970578,university of north alabama,United States
12972355,american university school of public affairs,United States
13070839,duke nus graduate medical school,Singapore
13072592,weil gotshal manges,United States
13082067,international institute of earthquake engineering and seismology,Iran
13089092,amsterdam university college,Netherlands
13134134,university of cantabria,Spain
13171568,korea university business school,South Korea
13175533,fuyang teachers college,China
13236232,tobb university of economics and technology,Turkey
13239573,mcknight brain institute,United States
13268429,madurai kamaraj university,India
13317002,institute of mathematics physics and mechanics,Slovenia
13383945,exponent,United States
13402291,joanneum research,Austria
13419840,istanbul ?ehir university,Turkey
13451752,kokushikan university,Japan
13469542,vrije universiteit brussel,Belgium
13491362,hamamatsu university,Japan
13511017,texas state university,United States
13521601,yu da university,Taiwan
13590829,dhurakij pundit university,Thailand
13591777,the university of nottingham ningbo china,China
13621637,yokkaichi university,Japan
13634446,general theological seminary,United States
13805885,vaughn college of aeronautics and technology,United States
13897259,andres bello national university,Chile
13913294,gustavus adolphus college,United States
13918349,statnett,Norway
13949564,centre for electronics design and technology,India
13955877,bar ilan university,Israel
13985625,east china jiaotong university,China
14017308,takarazuka university,Japan
14077687,canarie,Canada
14116566,wuhan polytechnic university,China
14140830,shih chien university,Taiwan
14197495,mbda,Germany
14226919,idheap,Switzerland
14243506,hong kong polytechnic university,Hong Kong
14245010,university of kragujevac,Serbia
14263602,instituto tecnologico de buenos aires,Argentina
14276461,chungyu institute of technology,Taiwan
14285755,l oreal,France
14308217,ministry of education science and technology,Malawi
14314212,osaka university of economics,Japan
14316845,nectec,Thailand
14334203,scheie eye institute,United States
14396692,tokyo university of information sciences,Japan
14403649,university of wisconsin river falls,United States
14414995,university of ciego de avila,Cuba
14637135,motorola solutions,United States
14689143,bt research,United Kingdom
14701112,monterrey institute of technology and higher education queretaro,Mexico
14746517,royal college of surgeons of england,United Kingdom
14748160,jinggangshan university,China
14780663,mingdao university,Taiwan
14820876,mahendra engineering college,India
14894300,foshan university,China
14992734,hunan university of traditional chinese medicine,China
15009632,fuji xerox,Japan
15016157,police academy,Greece
15032026,national fisheries research development institute,South Korea
15057530,university of bordeaux,France
15059493,izmir university of economics,Turkey
15062923,tianjin normal university,China
15089104,china aerospace science and industry corporation,China
15196421,supsi,Switzerland
15376332,mindspeed technologies,United States
15477984,james hutton institute,United Kingdom
15605915,otsuma women s university,Japan
15632735,hindustan aeronautics limited,India
15653065,borough of manhattan community college,United States
15766117,university of graz,Austria
15766328,university of lleida,Spain
15780179,sullivan university,United States
15807432,osaka prefecture university,Japan
15823474,linyi university,China
15839263,college of american pathologists,United States
15846685,mzumbe university,Tanzania
15853019,gandhi medical college,India
15855161,telecom sudparis,France
15858476,avago technologies,Singapore
15873915,al mustansiriya university,Iraq
15881080,national university of cuyo,Argentina
15881279,notre dame of maryland university,United States
15896350,guru jambheshwar university of science and technology,India
15905956,nhk spring company,Japan
15922215,national center for university entrance examinations,Japan
15940361,lillehammer university college,Norway
15989893,nizam college,India
15991598,konan university,Japan
16004307,serials solutions,United States
16012847,adhiyamaan college of engineering,India
16019930,saha institute of nuclear physics,India
16038530,aberystwyth university,United Kingdom
16076960,comsats institute of information technology,Pakistan
16097986,university of valencia,Spain
16103723,school of geodesy and geomatics wuhan university,China
16103854,remote sensing center,United States
16109614,washington state university tri cities,United States
16160350,nitte meenakshi institute of technology,India
16174345,clare college,United Kingdom
16197041,cyprus international university,Cyprus
16231767,turku university of applied sciences,Finland
16269868,santa clara university,United States
16277215,university of houston downtown,United States
16285277,college of william mary,United States
16288641,institute for nuclear research,Russia
16292982,national institute of technology rourkela,India
16295237,gansu agricultural university,China
16337185,university of sannio,Italy
16351329,china west normal university,China
16362100,rafael advanced defense systems,Israel
16365422,hefei university of technology,China
16371252,universidade de passo fundo,Brazil
16391192,tel aviv university,Israel
16452829,university of texas system,United States
16465266,austral university of chile,Chile
16471300,manipur university,India
16471929,drinker biddle reath,United States
16473318,langston university,United States
16489122,easwari engineering college,India
16518940,hong kong institute of vocational education,Hong Kong
16528096,aichi medical university,Japan
16566446,national pingtung university of science and technology,Taiwan
16568816,kanazawa medical university,Japan
16569854,nayoro city university,Japan
16590763,national quemoy university,Taiwan
16609230,hunan university,China
16655442,faculdade de filosofia ciencias e letras de ribeirao preto,Brazil
16656306,meiji university,Japan
16667517,black dog institute,Australia
16698461,vdo,Germany
16733864,national taiwan university,Taiwan
16748637,celal bayar university,Turkey
16753106,strategy,Not Found
16764540,university of suwon,South Korea
16767117,guru nanak khalsa college,India
16775273,american society of safety engineers,United States
16778253,nencki institute of experimental biology,Poland
16820183,illinois college,United States
16827503,wells college,United States
16834834,nova southeastern university oceanographic center,United States
16835326,university of st andrews,United Kingdom
16892885,claflin university,United States
16904388,eduardo mondlane university,Mozambique
16944753,clarkson university,United States
16969244,university of swaziland,Swaziland
16970960,scripps college,United States
17001226,university of the virgin islands,United States
17010184,telecom lille 1,France
17056963,university of kitakyushu,Japan
17093458,hacettepe university medical school,Turkey
17120543,national university of modern languages,Pakistan
17129648,instituto portugues de oncologia francisco gentil,Portugal
17145004,northwestern polytechnical university,China
17170469,solvay,Belgium
17180727,northumbria university newcastle business school,United States
17237868,meghnad saha institute of technology,India
17267037,uam cuajimalpa,Mexico
17301866,university of alabama,United States
17323165,lan yang institute of technology,Taiwan
17353258,b m s college of engineering,India
17357495,aalto university school of science,Finland
17389662,university of nicosia,Cyprus
17404232,bangladesh council of scientific and industrial research,Bangladesh
17442442,state grid corporation of china,China
17477748,rajshahi university of engineering technology,Bangladesh
17533244,an najah national university,Palestinian Territories
17606148,ecole nationale veterinaire d alfort,France
17626003,university of rhode island,United States
17707393,whiting school of engineering,United States
17721919,shanxi medical university,China
17747738,beijing university of chinese medicine,China
17784594,austin community college district,United States
17856709,bridgewater state university,United States
17866349,university of toulouse,France
17890574,areva nc,France
17937529,german cancer research center,Germany
17948180,mintek,South Africa
17961441,institute for health and consumer protection,Italy
17970305,argon st,United States
17974374,university of sao paulo,Brazil
18003638,mando corporation,South Korea
18014758,simon fraser university,Canada
18020613,mzuzu university,Malawi
18045400,federal university of agriculture abeokuta,Nigeria
18063868,far eastern state technical university,Russia
18097400,london college of fashion,United Kingdom
18167132,mackenzie presbyterian university,Brazil
18193975,warsaw school of economics,Poland
18241798,lake erie college of osteopathic medicine,United States
18253508,vaagdevi college of engineering,India
18283598,wheeling jesuit university,United States
18315594,institute of statistical mathematics,Japan
18383954,mci inc,United States
18426424,bishop heber college,India
18452120,yantai university,China
18452974,letterkenny institute of technology,Ireland
18533886,university of cincinnati clermont college,United States
18550681,pham ngoc thach university of medicine,Vietnam
18570673,guangxi university of technology,China
18676053,mercator school of management,Germany
18692668,meerut institute of engineering and technology,India
18718515,jinnah university for women,Pakistan
18850439,capgemini,France
18860807,wittenberg university,United States
18870511,institute for information industry,Taiwan
18884248,academy of technology,India
18894396,nagasaki institute of applied science,Japan
18899214,european academy of sciences and arts,Austria
18925743,shanghai university of sport,China
18934757,new york state police,United States
18959387,hitec,South Korea
18960004,university of kang ning,Taiwan
19002584,jamk university of applied sciences,Finland
19006462,medical corps,Not Found
19008122,mangalore university,India
19080760,ministry of science,Montenegro
19128659,indonesian institute of sciences,Indonesia
19149307,chennai mathematical institute,India
19231517,kabul university,Afghanistan
19245665,general dynamics advanced information systems,United States
19250435,trinity international university,United States
19268510,qualcomm,United States
19328922,international breast cancer research foundation,United States
19370010,orange s a,France
19391748,purdue pharma,United States
19409027,estonian university of life sciences,Estonia
19465583,ceat limited,India
19545898,international crisis group,Belgium
19547980,american intercontinental university,United States
19630809,mario negri institute for pharmacological research,Italy
19648265,wright state university,United States
19668297,buckinghamshire new university,United Kingdom
19682746,ids scheer,Germany
19700959,florida international university,United States
19716509,jamia hamdard,India
19744281,birla institute of technology science pilani goa,India
19772626,yeshiva university,United States
19807155,shanghai academy of spaceflight technology,China
19820366,chinese academy of sciences,China
19833938,western new england university,United States
19861218,usman institute of technology,Pakistan
19880235,moscow state university,Russia
19882861,northern new mexico college,United States
19894307,university of montpellier,France
19908199,national center for supercomputing applications,Bulgaria
19920983,mayo medical school,United States
19923696,ostfold university college,Norway
19926482,dr m g r educational and research institute,India
19986915,sndt women s university,India
19989617,paine college,United States
20025551,institute of geomatics,Spain
20089843,princeton university,United States
20107917,sri ramachandra university,India
20107944,starlab,Belgium
20121455,bielefeld university,Germany
20126385,inonu university,Turkey
20210687,mepco schlenk engineering college,India
20230540,university of miskolc,Hungary
20231570,peking university,China
20238315,netaji subhas open university,India
20272500,university of basilicata,Italy
20303223,bp,United Kingdom
20307877,antonine university,Lebanon
20382870,missouri university of science and technology,United States
20388574,state university of new york upstate medical university,United States
20431382,university of erfurt,Germany
20442775,kyoto women s university,Japan
20455151,air liquide,France
20486536,meredith college,United States
20497027,cochin university of science and technology,India
20497471,thoughtworks,United States
20500054,east central university,United States
20529979,university of electro communications,Japan
20560788,tokyo woman s christian university,Japan
20577493,denison university,United States
20581793,university of kent,United Kingdom
20616075,qinghai normal university,China
20622354,forrester research,United States
20648287,alba graduate business school,Greece
20690127,indiana university northwest,United States
20696738,wuppertal institute for climate environment and energy,Germany
20720010,tenaris,Luxembourg
20791572,indira gandhi institute of technology,India
20831749,fukuoka prefectural university,Japan
20864730,military college of signals,Pakistan
20884668,the institute of optics,United States
20888794,liquid crystal institute,United States
20898546,govindammal aditanar college for women,India
20935292,department of musicology,Czech Republic
20942203,hainan university,China
20960122,marywood university,United States
21028721,eulji university,South Korea
21067949,adolfo ibanez university,United States
21094409,faculty of medicine chulalongkorn university,Thailand
21104390,skidmore college,United States
21131202,university grants commission,India
21153639,langfang teachers college,China
21160419,ansys,United States
21173400,mutah university,Jordan
21178439,institute for energy technology,Norway
21193070,beijing jiaotong university,China
21203515,kazan federal university,Russia
21215505,al quds university,Palestinian Territories
21234101,thiagarajar college of engineering,India
21234642,zhejiang university of media and communications zumc,China
21250087,charles university in prague,Czech Republic
21300717,college of engineering guindy,India
21360634,council for scientific and industrial research,South Africa
21363455,inspur,China
21370196,aristotle university of thessaloniki,Greece
21376657,tanta university,Egypt
21419654,nanyang polytechnic,Singapore
21449261,masaryk university,Czech Republic
21449664,instruments research and development establishment,India
21463847,targit business intelligence,Denmark
21491767,aix marseille university,France
21511466,university of sheffield management school,United Kingdom
21516984,fontys university of applied sciences,Netherlands
21535869,birmingham city university faculty of health,United Kingdom
21584513,ontario institute for studies in education,Canada
21602254,the hartford,United States
21606457,state university of feira de santana,Brazil
21642278,ningxia university,China
21663988,technology college,United Kingdom
21669347,atlantic university,United States
21700936,northern state university,United States
21721194,westerngeco,United Kingdom
21724602,hsuan chuang university,Taiwan
21732274,tulsa community college,United States
21740220,international maize and wheat improvement center,Mexico
21741975,changshu institute of technology,China
21803372,university of evora,Portugal
21806205,comision nacional de actividades espaciales,Argentina
21867089,gwynedd mercy university,United States
21881038,bogor agricultural university,Indonesia
21945476,shanghai normal university,China
22040003,tsuyama national college of technology,Japan
22046295,inner mongolia normal university,China
22092394,carroll university,United States
22113271,teradyne,United States
22128151,university of derby,United Kingdom
22188714,university of prince edward island,Canada
22192696,roberts wesleyan college,United States
22195231,padmanava college of engineering rourkela,India
22248866,agro paristech,France
